id,slot,quizid,page,requireprevious,questionid,questioncategoryid,includingsubcategories,maxmark
1,1,2,1,0,28,,,1
2,22,2,22,0,29,,,1
3,23,2,23,0,3,,,1
4,24,2,24,0,30,,,1
5,25,2,25,0,31,,,1
6,26,2,26,0,32,,,1
7,27,2,27,0,33,,,1
8,28,2,28,0,34,,,1
9,29,2,29,0,35,,,1
10,30,2,30,0,36,,,1
11,31,2,31,0,4,,,1
12,32,2,32,0,5,,,1
13,33,2,33,0,6,,,1
14,34,2,34,0,7,,,1
15,35,2,35,0,8,,,1
16,36,2,36,0,9,,,1
17,2,2,2,0,1,,,1
18,3,2,3,0,10,,,1
19,4,2,4,0,11,,,1
20,5,2,5,0,12,,,1
21,6,2,6,0,13,,,1
22,7,2,7,0,14,,,1
23,8,2,8,0,15,,,1
24,9,2,9,0,16,,,1
25,10,2,10,0,17,,,1
26,11,2,11,0,18,,,1
27,12,2,12,0,19,,,1
28,13,2,13,0,2,,,1
29,14,2,14,0,20,,,1
30,15,2,15,0,21,,,2
31,16,2,16,0,22,,,1
32,17,2,17,0,23,,,1
33,18,2,18,0,24,,,1
34,19,2,19,0,25,,,1
35,20,2,20,0,26,,,1
36,21,2,21,0,27,,,1
37,1,1,1,0,37,,,1
38,2,1,2,0,38,,,1
39,3,1,3,0,39,,,1
40,4,1,4,0,40,,,1
41,5,1,5,0,41,,,1
42,6,1,6,0,42,,,1
43,7,1,7,0,43,,,1
44,8,1,8,0,44,,,1
45,9,1,9,0,45,,,1
46,10,1,10,0,46,,,1
47,11,1,11,0,47,,,1
48,12,1,12,0,48,,,1
49,13,1,13,0,49,,,1
50,14,1,14,0,50,,,1
51,15,1,15,0,51,,,1
52,16,1,16,0,52,,,1
53,17,1,17,0,53,,,1
54,18,1,18,0,54,,,1
55,19,1,19,0,55,,,1
56,20,1,20,0,56,,,1
57,21,1,21,0,57,,,1
58,22,1,22,0,58,,,1
59,23,1,23,0,59,,,1
60,24,1,24,0,60,,,1
61,25,1,25,0,61,,,1
62,26,1,26,0,62,,,1
63,27,1,27,0,63,,,1
64,28,1,28,0,64,,,1
65,29,1,29,0,65,,,1
66,30,1,30,0,66,,,1
67,31,1,31,0,67,,,1
68,32,1,32,0,68,,,1
69,33,1,33,0,69,,,1
70,34,1,34,0,70,,,1
71,35,1,35,0,71,,,1
72,36,1,36,0,72,,,1
73,37,1,37,0,73,,,1
74,38,1,38,0,74,,,1
75,39,1,39,0,75,,,1
76,40,1,40,0,76,,,1
77,41,1,41,0,77,,,1
78,42,1,42,0,78,,,1
79,43,1,43,0,79,,,1
80,44,1,44,0,80,,,1
81,45,1,45,0,81,,,1
82,46,1,46,0,82,,,1
83,47,1,47,0,83,,,1
84,1,3,1,0,1,,,1
85,2,3,2,0,10,,,1
86,3,3,3,0,11,,,1
87,4,3,4,0,12,,,1
88,5,3,5,0,13,,,1
89,6,3,6,0,14,,,1
90,7,3,7,0,15,,,1
91,8,3,8,0,16,,,1
92,9,3,9,0,17,,,1
93,10,3,10,0,18,,,1
94,11,3,11,0,19,,,1
95,12,3,12,0,2,,,1
96,13,3,13,0,20,,,1
97,14,3,14,0,21,,,2
98,15,3,15,0,22,,,1
99,16,3,16,0,23,,,1
100,17,3,17,0,24,,,1
101,18,3,18,0,25,,,1
102,19,3,19,0,26,,,1
103,20,3,20,0,27,,,1
104,21,3,21,0,28,,,1
105,22,3,22,0,29,,,1
106,23,3,23,0,3,,,1
107,24,3,24,0,30,,,1
108,25,3,25,0,31,,,1
109,26,3,26,0,32,,,1
110,27,3,27,0,33,,,1
111,28,3,28,0,34,,,1
112,29,3,29,0,35,,,1
113,30,3,30,0,36,,,1
114,31,3,31,0,4,,,1
115,32,3,32,0,5,,,1
116,33,3,33,0,6,,,1
117,34,3,34,0,7,,,1
118,35,3,35,0,8,,,1
119,36,3,36,0,9,,,1
201,1,5,1,0,364,,,1
202,2,5,2,0,365,,,1
203,3,5,3,0,366,,,1
204,4,5,4,0,367,,,1
205,5,5,5,0,368,,,1
206,6,5,6,0,369,,,1
207,7,5,7,0,370,,,1
208,8,5,8,0,371,,,1
209,9,5,9,0,372,,,1
210,10,5,10,0,373,,,1
211,11,5,11,0,374,,,1
212,12,5,12,0,375,,,1
213,13,5,13,0,376,,,1
214,14,5,14,0,377,,,1
215,15,5,15,0,378,,,1
216,16,5,16,0,379,,,1
225,1,10,1,0,406,,,1
226,2,10,2,0,407,,,1
227,3,10,3,0,408,,,1
228,4,10,4,0,409,,,1
229,5,10,5,0,410,,,1
230,6,10,6,0,411,,,1
231,7,10,7,0,412,,,1
232,8,10,8,0,413,,,1
233,9,10,9,0,414,,,1
234,10,10,10,0,415,,,1
235,1,9,1,0,380,,,1
236,2,9,2,0,381,,,1
237,3,9,3,0,382,,,1
238,4,9,4,0,383,,,1
239,5,9,5,0,384,,,1
240,6,9,6,0,385,,,1
241,7,9,7,0,386,,,1
242,8,9,8,0,387,,,1
243,1,6,1,0,416,,,1
244,2,6,2,0,417,,,1
245,3,6,3,0,418,,,1
246,4,6,4,0,419,,,1
247,5,6,5,0,420,,,1
248,6,6,6,0,421,,,1
249,7,6,7,0,422,,,1
250,8,6,8,0,423,,,1
251,1,7,1,0,424,,,1
252,2,7,2,0,425,,,1
253,3,7,3,0,426,,,1
254,4,7,4,0,427,,,1
255,5,7,5,0,428,,,1
256,6,7,6,0,429,,,1
257,7,7,7,0,430,,,1
258,8,7,8,0,431,,,1
259,9,7,9,0,432,,,1
260,10,7,10,0,433,,,1
270,1,12,1,0,527,58,0,1
271,2,12,2,0,528,58,0,1
272,3,12,3,0,529,58,0,1
273,4,12,4,0,530,59,0,1
274,5,12,5,0,531,59,0,1
275,6,12,6,0,532,60,0,1
276,7,12,7,0,533,60,0,1
277,8,12,8,0,534,60,0,1
278,9,12,9,0,535,61,0,1
279,10,12,10,0,536,61,0,1
280,11,12,11,0,537,62,0,1
281,12,12,12,0,538,62,0,1
282,13,12,13,0,539,67,0,1
283,14,12,14,0,540,67,0,1
284,15,12,15,0,541,68,0,1
285,16,12,16,0,542,68,0,1
286,17,12,17,0,543,68,0,1
287,18,12,18,0,544,69,0,1
288,19,12,19,0,545,69,0,1
289,20,12,20,0,546,69,0,1
291,1,13,1,0,548,64,0,1
293,2,13,2,0,550,65,0,1
